derived_race,derived_sex,derived_ethnicity,action_taken,outcome
White,Joint,Not Hispanic or Latino,1,1
2 or more minority races,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Ethnicity Not Available,1,1
White,Joint,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,3,0
White,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Asian,Joint,Not Hispanic or Latino,1,1
Asian,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Asian,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Joint,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,3,0
White,Joint,Joint,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Joint,1,1
White,Female,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,3,0
Joint,Joint,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Male,Joint,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Hispanic or Latino,1,1
White,Female,Hispanic or Latino,1,1
Asian,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Joint,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
Asian,Male,Not Hispanic or Latino,3,0
Asian,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Joint,1,1
White,Female,Not Hispanic or Latino,1,1
Black or African American,Joint,Ethnicity Not Available,3,0
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,3,0
White,Female,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Hispanic or Latino,1,1
White,Female,Hispanic or Latino,1,1
Asian,Male,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,3,0
White,Female,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,3,0
White,Female,Ethnicity Not Available,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
White,Male,Joint,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Asian,Joint,Ethnicity Not Available,1,1
White,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Joint,Joint,Joint,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Joint,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Female,Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Ethnicity Not Available,1,1
White,Joint,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,1,1
Asian,Joint,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Ethnicity Not Available,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Asian,Male,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,1,1
Black or African American,Joint,Joint,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Ethnicity Not Available,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Asian,Male,Not Hispanic or Latino,3,0
White,Female,Not Hispanic or Latino,1,1
White,Female,Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Ethnicity Not Available,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,3,0
Asian,Male,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,3,0
White,Male,Hispanic or Latino,1,1
White,Joint,Hispanic or Latino,1,1
Black or African American,Male,Hispanic or Latino,3,0
2 or more minority races,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Hispanic or Latino,3,0
White,Joint,Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
Asian,Male,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Joint,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Asian,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Joint,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Asian,Male,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Hispanic or Latino,1,1
White,Joint,Joint,1,1
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,3,0
White,Joint,Joint,1,1
Black or African American,Female,Joint,3,0
White,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,3,0
Black or African American,Joint,Not Hispanic or Latino,1,1
Black or African American,Male,Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
White,Joint,Joint,3,0
Black or African American,Female,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
White,Joint,Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Male,Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
2 or more minority races,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,3,0
Black or African American,Male,Ethnicity Not Available,1,1
Joint,Male,Not Hispanic or Latino,1,1
White,Male,Hispanic or Latino,1,1
White,Joint,Ethnicity Not Available,1,1
Black or African American,Joint,Not Hispanic or Latino,3,0
White,Male,Not Hispanic or Latino,3,0
Asian,Female,Not Hispanic or Latino,1,1
White,Male,Hispanic or Latino,1,1
White,Female,Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Free Form Text Only,3,0
White,Male,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,3,0
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Female,Free Form Text Only,3,0
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,3,0
Asian,Male,Not Hispanic or Latino,1,1
White,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,1,1
Asian,Female,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Asian,Joint,Ethnicity Not Available,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Joint,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Male,Not Hispanic or Latino,1,1
White,Male,Joint,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
Black or African American,Male,Not Hispanic or Latino,3,0
White,Female,Not Hispanic or Latino,1,1
White,Joint,Not Hispanic or Latino,1,1
Black or African American,Male,Not Hispanic or Latino,1,1
Black or African American,Female,Not Hispanic or Latino,3,0
White,Joint,Not Hispanic or Latino,1,1
Joint,Joint,Not Hispanic or Latino,1,1
